Job Title,Link,Role,Industry,Department,Education (UG),Education (PG),Key Skills,Description
Assistant Manager/ Deputy Manager / Manager- Finance & Accounts,https://www.naukri.com/job-listings-assistant-manager-deputy-manager-manager-finance-accounts-gennext-india-private-limited-barmer-jamshedpur-5-to-10-years-140226015335,Finance Manager,Metals & Mining,Finance & Accounting,Not Found,CA in CA,"Finance, account",Description block not found or inaccessible
Manager - Corporate Audit ( Finance & Commercial ),https://www.naukri.com/job-listings-manager-corporate-audit-finance-commercial-synergy-source-hr-solutions-dhenkanal-jamshedpur-1-to-6-years-230326027901,Audit Manager,Industrial Equipment / Machinery,Finance & Accounting,Not Found,CA in CA,"Internal Audit, Statutory Audit, Internal Financial Control, Internal Control, Compliance, Capex audit, corporate audit",Description block not found or inaccessible
Sr Executive-Financial Planning & Analyst,https://www.naukri.com/job-listings-sr-executive-financial-planning-analyst-medhavi-skills-university-sikkim-dhanbad-3-to-5-years-230326501858,Business Analyst,Education / Training,Data Science & Analytics,Any Graduate,Any Postgraduate,"Tally, MIS, Project management, Business analytics, Financial planning, Budgeting, Forecasting, Business operations, Service operations, SQL",Description block not found or inaccessible
Finance and Accounts Manager - Manufacturing Industry,https://www.naukri.com/job-listings-finance-and-accounts-manager-manufacturing-industry-bhandari-feeds-hazaribag-10-to-15-years-050326023007,Finance Manager,Miscellaneous,Finance & Accounting,Not Found,M.Com in Commerce,Finance And Accounts,Description block not found or inaccessible
Finance Head,https://www.naukri.com/job-listings-finance-head-canbica-ranchi-4-to-8-years-200326010194,Finance & Accounting - Other,Iron & Steel,Finance & Accounting,Not Found,CA in CA,"Finance Control, Income Tax, Financial Planning, Gst, Financial Management, Fund Raising, Accounting, Cost Control, Financial Strategy, Taxation, Variance Analysis, Cash Flow Management",Description block not found or inaccessible
Senior Manager - Finance & Accounts,https://www.naukri.com/job-listings-senior-manager-finance-accounts-adani-transmission-bokaro-dhanbad-jamshedpur-ranchi-12-to-17-years-240226504728,Finance Manager,Power,Finance & Accounting,Any Graduate,Any Postgraduate,"Customer profitability, SAP ERP, MIS, Finance, Billing, Budgeting, MS Office, Monitoring, Auditing, Profitability analysis",Description block not found or inaccessible
General Manager - Finance & Accounts,https://www.naukri.com/job-listings-general-manager-finance-accounts-varun-beverages-ltd-jamshedpur-10-to-15-years-190326016364,Treasury Head,FMCG,Finance & Accounting,Not Found,CA in Any Specialization,"sap, set, analytical, indirect, interpersonal skills, accounting, business planning, reconciliation, sales, indirect taxation, manufacturing unit, finance function, financial management, financial control, finance and accounts, financial accounting, taxation, ca, communication skills",Description block not found or inaccessible
Manager Finance & Accounts,https://www.naukri.com/job-listings-manager-finance-accounts-medhavi-skills-university-sikkim-dhanbad-2-to-7-years-130326502976,Finance Manager,Education / Training,Finance & Accounting,Any Graduate,CA in CA,"Financial statements, Income tax, Tally ERP, Financial accounting, Analytical, Finance, Reconciliation, Financial planning, Taxation, Budgeting, Security Guidelines, Terms and Conditions",Description block not found or inaccessible
Relationship Manager For Financial Sector,https://www.naukri.com/job-listings-relationship-manager-for-financial-sector-ssp-solutions-kolkata-rourkela-ranchi-2-to-4-years-090326028620,Sales Manager,Financial Services (Broking),"BFSI, Investments & Trading",Any Graduate,Not Found,"Financial Products Sales, Insurance Sales, Mutual Funds Sales, Equity Sales, Banking Sales",Description block not found or inaccessible
Senior Finance AND Accounts Manager,https://www.naukri.com/job-listings-senior-finance-and-accounts-manager-it-scient-jamshedpur-5-to-10-years-220126030190,Finance & Accounting - Other,Industrial Equipment / Machinery (Machine Tools),Finance & Accounting,B.Com - Bachelor of Commerce in Commerce,Not Found,Finance And Accounts,Description block not found or inaccessible
Finance and Accounts Professional,https://www.naukri.com/job-listings-finance-and-accounts-professional-z2plus-placement-amp-amp-amp-amp-security-agency-pvt-ltd-ranchi-3-to-8-years-140223501394,Finance Manager,Recruitment / Staffing,Finance & Accounting,"Any Graduate, B.Com - Bachelor of Commerce in Commerce",Any Postgraduate,"Procurement, TDS, Financial statements, Financial reporting, Analytical, VLOOKUP, Reconciliation, Payroll preparation, Financial management, Cash flow",Description block not found or inaccessible
Hdfc Bank _ Branch Sales Officer-Retail Branch Banking_ Jharkhand,https://www.naukri.com/job-listings-hdfc-bank-branch-sales-officer-retail-branch-banking-jharkhand-hdfc-bank-giridih-jharkhand-0-to-4-years-060326022133,Not Found,Not Found,Not Found,,Not Found,"Current & savings account, Sales, Loan, Business loan, Retail Sales, B2C Sales, Gold loan, Home loan, Car loan, Field Sales, Branch Sales, Business Development, Corporate salary account, Two-wheeler loan",Description block not found or inaccessible
Loan Officer - Retail MFB - Sales,https://www.naukri.com/job-listings-loan-officer-retail-mfb-sales-tata-capital-ltd-bhawnathpur-0-to-2-years-261225500141,Retail Sales,Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Relationship management, Loans, Basic, Sales, Microfinance, Delinquency management, Customer service, Management, Market penetration, Operations, Security Guidelines, Terms and Conditions",Description block not found or inaccessible
Loan Officer - Retail MFB - Sales,https://www.naukri.com/job-listings-loan-officer-retail-mfb-sales-tata-capital-ltd-satbarwa-0-to-3-years-291225502394,Retail Sales,Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Relationship management, Loans, Basic, Sales, Microfinance, Delinquency management, Customer service, Management, Market penetration, Operations, Security Guidelines, Terms and Conditions",Description block not found or inaccessible
